GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notificationsolution,com.varun.notificationsolution.util,CSVReaderUtil,0,102,0,2,0,21,0,3,0,2
notificationsolution,com.varun.notificationsolution.util,Utility,3,40,0,4,1,8,1,3,1,1
notificationsolution,com.varun.notificationsolution.util,EntryComparator,0,21,0,4,0,6,0,4,0,2
notificationsolution,com.varun.notificationsolution.util,JsonFileReaderUtil,0,43,0,0,0,10,0,3,0,3
notificationsolution,com.varun.notificationsolution.util,JsonFileReaderUtil.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
notificationsolution,com.varun.notificationsolution.service,Workflow,0,97,0,4,0,31,0,4,0,2
